,title,plays,duration,release_date,cover_url
,Psihedelia,12798355.0,3:46,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Se Periptosi Pou,12031878.0,3:59,2024-11-08,https://i.scdn.co/image/ab67616d0000b273343e5fe2e45a694fd8575f86
,Aima,8966580.0,3:29,2022-05-30,https://i.scdn.co/image/ab67616d0000b273dafcec9ea3e0a082230a81f2
,Lekes,8924571.0,4:15,2023-11-10,https://i.scdn.co/image/ab67616d0000b273985d3288f7a0fc2669ef61a9
,Eleni,6509024.0,4:56,1995-09-18,https://i.scdn.co/image/ab67616d0000b2739b1659f5770ea89cfad1f157
,Protimo,6225502.0,4:04,2012-12-31,https://i.scdn.co/image/ab67616d0000b273c5a969889ee87ce65ce30a24
,Einai Asteio,5709438.0,3:41,2023-07-10,https://i.scdn.co/image/ab67616d0000b27370fe9f99614c45aa5e98845a
,Sti Pira,5500097.0,3:07,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
,Ise,4699033.0,4:21,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Ola Gia Ola,4510523.0,4:42,2025-04-04,https://i.scdn.co/image/ab67616d0000b273fe6b9e2d1c01cfd433154466
,Kontra,4395912.0,3:52,2008-12-09,https://i.scdn.co/image/ab67616d0000b27393ae850db2b4228fe4977dab
,Eho Pethani Gia Sena,4088592.0,3:54,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Agapi Ipervoliki,4046585.0,4:50,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Gazoza,3974067.0,3:45,2022-12-12,https://i.scdn.co/image/ab67616d0000b273e62aef58bf21754351c07baa
,To Poli Poli,3917964.0,4:26,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Treno,3522944.0,4:49,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Kai Eho Tosa Na Thymamai - Hotel Ermou Live Version,3087737.0,2:43,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Atmosphera Ilectrismeni,2596427.0,5:14,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Sigharitiria,2561548.0,5:09,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Dodeka,2444563.0,5:22,1985-01-10,https://i.scdn.co/image/ab67616d0000b2735f20f2f63fe64bfe775da003
,Horis To Moro Mou,2370895.0,3:55,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Pes To Xana - Hotel Ermou Live Version,2339132.0,1:54,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Protimo '24,2280941.0,4:08,2024-03-12,https://i.scdn.co/image/ab67616d0000b2735732dcd068158156f5f237da
,Shizofrenia,2278803.0,4:05,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Xana Mana,2198558.0,4:53,2015-11-30,https://i.scdn.co/image/ab67616d0000b273b0f3e9716968614adad15b00
,Psihedelia - Live Version,2139175.0,3:13,2005-01-27,https://i.scdn.co/image/ab67616d0000b2731f1ac446c500bab767932f58
,Xrysopsara,2131542.0,3:54,2024-05-17,https://i.scdn.co/image/ab67616d0000b27325f421c6d59fc75c96b58108
,Sandre,2088735.0,4:04,2025-06-27,https://i.scdn.co/image/ab67616d0000b2734eaa7d1f10cf5335d0ff8ceb
,O Telefteos Horos,2075009.0,5:52,1991-07-05,https://i.scdn.co/image/ab67616d0000b273f3e327be7438dc36251320dc
,Empnefsi - Hotel Ermou Live Version,2046158.0,2:26,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Tyraniemai,1917498.0,4:00,2012-06-11,https://i.scdn.co/image/ab67616d0000b27320a5bdab0e7d4b31ec3d8fe6
,Emis,1847082.0,3:44,1992-05-28,https://i.scdn.co/image/ab67616d0000b2735c6925bf70a4960c8e124d86
,Den Thelo Na Xeris,1809253.0,5:19,1992-05-28,https://i.scdn.co/image/ab67616d0000b273ec8882aba54284ba0cf8e1fd
,"Se Thelo, Me Thelis (Mixed)",1775998.0,4:25,1997-04-16,https://i.scdn.co/image/ab67616d0000b2737e1785e00c2e1ce8aef7bb61
,Everything,1771100.0,2:60,2006-03-31,https://i.scdn.co/image/ab67616d0000b2739c457e147f0aa4c6c4cead88
,Kaka Pedia,1768960.0,5:12,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Protereotita,1706872.0,4:15,2010-11-08,https://i.scdn.co/image/ab67616d0000b2734ac13d5da9b353fd4e6ab919
,Sentonia,1628131.0,3:47,1996-02-29,https://i.scdn.co/image/ab67616d0000b2732abb79908fe729496b83a191
,Pes To Ksana,1623190.0,3:51,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Moni Mou,1576502.0,3:54,2000-11-16,https://i.scdn.co/image/ab67616d0000b2732f038cc4ad078bf55ed8c2a5
,Ekpliksi,1524427.0,4:21,2002-10-03,https://i.scdn.co/image/ab67616d0000b273b6abec5528a11ae2450385c1
,Ke Eho Tosa Na Thimame,1477946.0,3:46,1984-03-14,https://i.scdn.co/image/ab67616d0000b273748dabd792ec65b630b3015e
,Vaterlo,1468608.0,3:58,2003-12-04,https://i.scdn.co/image/ab67616d0000b273724136a05d2062a661672ba4
,Ki Omos Den Teleionei,1417162.0,4:06,2021-06-11,https://i.scdn.co/image/ab67616d0000b273c5cd7945d06063c34e380b01
,Ekatommiria,1368417.0,4:04,1996-02-29,https://i.scdn.co/image/ab67616d0000b2732abb79908fe729496b83a191
,Oso Eho Foni - Hotel Ermou Live Version,1273963.0,1:35,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Eisai - Hotel Ermou Live Version,1273542.0,2:04,2018-07-23,https://i.scdn.co/image/ab67616d0000b27358a2973daf4f31ec68e53ce9
,Gia Sas Triadafilla,1270119.0,2:50,2004-01-01,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Oso Eho Foni,1254001.0,2:22,1981-05-25,https://i.scdn.co/image/ab67616d0000b2730b0cc51415d4ad57f6c6c9d6
,Na 'Se Kala,1252085.0,4:03,1997-04-16,https://i.scdn.co/image/ab67616d0000b273e69329448409b803d727719e
,Ksana,1217051.0,4:56,2023-06-26,https://i.scdn.co/image/ab67616d0000b27313381f57957f2c1c8cd65217
,Adistrofi Metrisi,1184708.0,4:00,1984-03-14,https://i.scdn.co/image/ab67616d0000b2739af901b9d9530c01a829a585
